,county,state,population 2019,county-state
0,Alabama,Alabama,4903185,Alabama - Alabama
1,Autauga,Alabama,55869,Autauga - Alabama
2,Baldwin,Alabama,223234,Baldwin - Alabama
3,Barbour,Alabama,24686,Barbour - Alabama
4,Bibb,Alabama,22394,Bibb - Alabama
5,Blount,Alabama,57826,Blount - Alabama
6,Bullock,Alabama,10101,Bullock - Alabama
7,Butler,Alabama,19448,Butler - Alabama
8,Calhoun,Alabama,113605,Calhoun - Alabama
9,Chambers,Alabama,33254,Chambers - Alabama
10,Cherokee,Alabama,26196,Cherokee - Alabama
11,Chilton,Alabama,44428,Chilton - Alabama
12,Choctaw,Alabama,12589,Choctaw - Alabama
13,Clarke,Alabama,23622,Clarke - Alabama
14,Clay,Alabama,13235,Clay - Alabama
15,Cleburne,Alabama,14910,Cleburne - Alabama
16,Coffee,Alabama,52342,Coffee - Alabama
17,Colbert,Alabama,55241,Colbert - Alabama
18,Conecuh,Alabama,12067,Conecuh - Alabama
19,Coosa,Alabama,10663,Coosa - Alabama
20,Covington,Alabama,37049,Covington - Alabama
21,Crenshaw,Alabama,13772,Crenshaw - Alabama
22,Cullman,Alabama,83768,Cullman - Alabama
23,Dale,Alabama,49172,Dale - Alabama
24,Dallas,Alabama,37196,Dallas - Alabama
25,DeKalb,Alabama,71513,DeKalb - Alabama
26,Elmore,Alabama,81209,Elmore - Alabama
27,Escambia,Alabama,36633,Escambia - Alabama
28,Etowah,Alabama,102268,Etowah - Alabama
29,Fayette,Alabama,16302,Fayette - Alabama
30,Franklin,Alabama,31362,Franklin - Alabama
31,Geneva,Alabama,26271,Geneva - Alabama
32,Greene,Alabama,8111,Greene - Alabama
33,Hale,Alabama,14651,Hale - Alabama
34,Henry,Alabama,17205,Henry - Alabama
35,Houston,Alabama,105882,Houston - Alabama
36,Jackson,Alabama,51626,Jackson - Alabama
37,Jefferson,Alabama,658573,Jefferson - Alabama
38,Lamar,Alabama,13805,Lamar - Alabama
39,Lauderdale,Alabama,92729,Lauderdale - Alabama
40,Lawrence,Alabama,32924,Lawrence - Alabama
41,Lee,Alabama,164542,Lee - Alabama
42,Limestone,Alabama,98915,Limestone - Alabama
43,Lowndes,Alabama,9726,Lowndes - Alabama
44,Macon,Alabama,18068,Macon - Alabama
45,Madison,Alabama,372909,Madison - Alabama
46,Marengo,Alabama,18863,Marengo - Alabama
47,Marion,Alabama,29709,Marion - Alabama
48,Marshall,Alabama,96774,Marshall - Alabama
49,Mobile,Alabama,413210,Mobile - Alabama
50,Monroe,Alabama,20733,Monroe - Alabama
51,Montgomery,Alabama,226486,Montgomery - Alabama
52,Morgan,Alabama,119679,Morgan - Alabama
53,Perry,Alabama,8923,Perry - Alabama
54,Pickens,Alabama,19930,Pickens - Alabama
55,Pike,Alabama,33114,Pike - Alabama
56,Randolph,Alabama,22722,Randolph - Alabama
57,Russell,Alabama,57961,Russell - Alabama
58,St. Clair,Alabama,89512,St. Clair - Alabama
59,Shelby,Alabama,217702,Shelby - Alabama
60,Sumter,Alabama,12427,Sumter - Alabama
61,Talladega,Alabama,79978,Talladega - Alabama
62,Tallapoosa,Alabama,40367,Tallapoosa - Alabama
63,Tuscaloosa,Alabama,209355,Tuscaloosa - Alabama
64,Walker,Alabama,63521,Walker - Alabama
65,Washington,Alabama,16326,Washington - Alabama
66,Wilcox,Alabama,10373,Wilcox - Alabama
67,Winston,Alabama,23629,Winston - Alabama
68,Alaska,Alaska,731545,Alaska - Alaska
69,Aleutians East Borough,Alaska,3337,Aleutians East Borough - Alaska
70,Aleutians West Census Area,Alaska,5634,Aleutians West Census Area - Alaska
71,Anchorage Municipality,Alaska,288000,Anchorage Municipality - Alaska
72,Bethel Census Area,Alaska,18386,Bethel Census Area - Alaska
73,Bristol Bay Borough,Alaska,836,Bristol Bay Borough - Alaska
74,Denali Borough,Alaska,2097,Denali Borough - Alaska
75,Dillingham Census Area,Alaska,4916,Dillingham Census Area - Alaska
76,Fairbanks North Star Borough,Alaska,96849,Fairbanks North Star Borough - Alaska
77,Haines Borough,Alaska,2530,Haines Borough - Alaska
78,Hoonah-Angoon Census Area,Alaska,2148,Hoonah-Angoon Census Area - Alaska
79,Juneau City and Borough,Alaska,31974,Juneau City and Borough - Alaska
80,Kenai Peninsula Borough,Alaska,58708,Kenai Peninsula Borough - Alaska
81,Ketchikan Gateway Borough,Alaska,13901,Ketchikan Gateway Borough - Alaska
82,Kodiak Island Borough,Alaska,12998,Kodiak Island Borough - Alaska
83,Kusilvak Census Area,Alaska,8314,Kusilvak Census Area - Alaska
84,Lake and Peninsula Borough,Alaska,1592,Lake and Peninsula Borough - Alaska
85,Matanuska-Susitna Borough,Alaska,108317,Matanuska-Susitna Borough - Alaska
86,Nome Census Area,Alaska,10004,Nome Census Area - Alaska
87,North Slope Borough,Alaska,9832,North Slope Borough - Alaska
88,Northwest Arctic Borough,Alaska,7621,Northwest Arctic Borough - Alaska
89,Petersburg Borough,Alaska,3266,Petersburg Borough - Alaska
90,Prince of Wales-Hyder Census Area,Alaska,6203,Prince of Wales-Hyder Census Area - Alaska
91,Sitka City and Borough,Alaska,8493,Sitka City and Borough - Alaska
92,Skagway Municipality,Alaska,1183,Skagway Municipality - Alaska
93,Southeast Fairbanks Census Area,Alaska,6893,Southeast Fairbanks Census Area - Alaska
94,Valdez-Cordova Census Area,Alaska,9202,Valdez-Cordova Census Area - Alaska
95,Wrangell City and Borough,Alaska,2502,Wrangell City and Borough - Alaska
96,Yakutat City and Borough,Alaska,579,Yakutat City and Borough - Alaska
97,Yukon-Koyukuk Census Area,Alaska,5230,Yukon-Koyukuk Census Area - Alaska
98,Arizona,Arizona,7278717,Arizona - Arizona
99,Apache,Arizona,71887,Apache - Arizona
100,Cochise,Arizona,125922,Cochise - Arizona
101,Coconino,Arizona,143476,Coconino - Arizona
102,Gila,Arizona,54018,Gila - Arizona
103,Graham,Arizona,38837,Graham - Arizona
104,Greenlee,Arizona,9498,Greenlee - Arizona
105,La Paz,Arizona,21108,La Paz - Arizona
106,Maricopa,Arizona,4485414,Maricopa - Arizona
107,Mohave,Arizona,212181,Mohave - Arizona
108,Navajo,Arizona,110924,Navajo - Arizona
109,Pima,Arizona,1047279,Pima - Arizona
110,Pinal,Arizona,462789,Pinal - Arizona
111,Santa Cruz,Arizona,46498,Santa Cruz - Arizona
112,Yavapai,Arizona,235099,Yavapai - Arizona
113,Yuma,Arizona,213787,Yuma - Arizona
114,Arkansas,Arkansas,3017804,ArkansasState - Arkansas
115,Arkansas,Arkansas,17486,Arkansas - Arkansas
116,Ashley,Arkansas,19657,Ashley - Arkansas
117,Baxter,Arkansas,41932,Baxter - Arkansas
118,Benton,Arkansas,279141,Benton - Arkansas
119,Boone,Arkansas,37432,Boone - Arkansas
120,Bradley,Arkansas,10763,Bradley - Arkansas
121,Calhoun,Arkansas,5189,Calhoun - Arkansas
122,Carroll,Arkansas,28380,Carroll - Arkansas
123,Chicot,Arkansas,10118,Chicot - Arkansas
124,Clark,Arkansas,22320,Clark - Arkansas
125,Clay,Arkansas,14551,Clay - Arkansas
126,Cleburne,Arkansas,24919,Cleburne - Arkansas
127,Cleveland,Arkansas,7956,Cleveland - Arkansas
128,Columbia,Arkansas,23457,Columbia - Arkansas
129,Conway,Arkansas,20846,Conway - Arkansas
130,Craighead,Arkansas,110332,Craighead - Arkansas
131,Crawford,Arkansas,63257,Crawford - Arkansas
132,Crittenden,Arkansas,47955,Crittenden - Arkansas
133,Cross,Arkansas,16419,Cross - Arkansas
134,Dallas,Arkansas,7009,Dallas - Arkansas
135,Desha,Arkansas,11361,Desha - Arkansas
136,Drew,Arkansas,18219,Drew - Arkansas
137,Faulkner,Arkansas,126007,Faulkner - Arkansas
138,Franklin,Arkansas,17715,Franklin - Arkansas
139,Fulton,Arkansas,12477,Fulton - Arkansas
140,Garland,Arkansas,99386,Garland - Arkansas
141,Grant,Arkansas,18265,Grant - Arkansas
142,Greene,Arkansas,45325,Greene - Arkansas
143,Hempstead,Arkansas,21532,Hempstead - Arkansas
144,Hot Spring,Arkansas,33771,Hot Spring - Arkansas
145,Howard,Arkansas,13202,Howard - Arkansas
146,Independence,Arkansas,37825,Independence - Arkansas
147,Izard,Arkansas,13629,Izard - Arkansas
148,Jackson,Arkansas,16719,Jackson - Arkansas
149,Jefferson,Arkansas,66824,Jefferson - Arkansas
150,Johnson,Arkansas,26578,Johnson - Arkansas
151,Lafayette,Arkansas,6624,Lafayette - Arkansas
152,Lawrence,Arkansas,16406,Lawrence - Arkansas
153,Lee,Arkansas,8857,Lee - Arkansas
154,Lincoln,Arkansas,13024,Lincoln - Arkansas
155,Little River,Arkansas,12259,Little River - Arkansas
156,Logan,Arkansas,21466,Logan - Arkansas
157,Lonoke,Arkansas,73309,Lonoke - Arkansas
158,Madison,Arkansas,16576,Madison - Arkansas
159,Marion,Arkansas,16694,Marion - Arkansas
160,Miller,Arkansas,43257,Miller - Arkansas
161,Mississippi,Arkansas,40651,Mississippi - Arkansas
162,Monroe,Arkansas,6701,Monroe - Arkansas
163,Montgomery,Arkansas,8986,Montgomery - Arkansas
164,Nevada,Arkansas,8252,Nevada - Arkansas
165,Newton,Arkansas,7753,Newton - Arkansas
166,Ouachita,Arkansas,23382,Ouachita - Arkansas
167,Perry,Arkansas,10455,Perry - Arkansas
168,Phillips,Arkansas,17782,Phillips - Arkansas
169,Pike,Arkansas,10718,Pike - Arkansas
170,Poinsett,Arkansas,23528,Poinsett - Arkansas
171,Polk,Arkansas,19964,Polk - Arkansas
172,Pope,Arkansas,64072,Pope - Arkansas
173,Prairie,Arkansas,8062,Prairie - Arkansas
174,Pulaski,Arkansas,391911,Pulaski - Arkansas
175,Randolph,Arkansas,17958,Randolph - Arkansas
176,St. Francis,Arkansas,24994,St. Francis - Arkansas
177,Saline,Arkansas,122437,Saline - Arkansas
178,Scott,Arkansas,10281,Scott - Arkansas
179,Searcy,Arkansas,7881,Searcy - Arkansas
180,Sebastian,Arkansas,127827,Sebastian - Arkansas
181,Sevier,Arkansas,17007,Sevier - Arkansas
182,Sharp,Arkansas,17442,Sharp - Arkansas
183,Stone,Arkansas,12506,Stone - Arkansas
184,Union,Arkansas,38682,Union - Arkansas
185,Van Buren,Arkansas,16545,Van Buren - Arkansas
186,Washington,Arkansas,239187,Washington - Arkansas
187,White,Arkansas,78753,White - Arkansas
