,school,school_logo,cases,location
0,University of Texas at Austin,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/251.png,449,"Austin, Texas"
1,University of Central Florida,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2116.png,438,"Orlando, Fla."
2,University of Georgia,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/61.png,390,"Athens, Ga."
3,Texas A&M University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/245.png,302,"College Station, Texas"
4,University of Washington,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/264.png,249,Seattle
5,University of Florida,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/57.png,217,"Gainesville, Fla."
6,University of Texas Southwestern Medical Center,https://logo.clearbit.com/utsouthwestern.edu,207,Dallas
7,University of South Florida,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/58.png,182,"Tampa, Fla."
8,University of Pennsylvania,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/219.png,167,Philadelphia
9,"University of California, Berkeley",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/25.png,123,"Berkeley, Calif."
10,University of Connecticut System,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/41.png,112,"Storrs, Conn."
11,"University of California, Los Angeles",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/26.png,101,Los Angeles
12,Stanford University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/24.png,99,"Stanford, Calif."
13,University of Texas Rio Grande Valley,https://logo.clearbit.com/utrgv.edu,95,"Edinburg, Texas"
14,Georgia Institute of Technology,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/59.png,94,Atlanta
15,Appalachian State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2026.png,94,"Boone, N.C."
16,United States Military Academy West Point,https://logo.clearbit.com/westpoint.edu,89,"West Point, N.Y."
17,Sam Houston State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2534.png,88,"Huntsville, Texas"
18,Oregon Health & Science University,https://logo.clearbit.com/ohsu.edu,83,"Portland, Ore."
19,University of Mississippi,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/145.png,81,"Oxford, Miss."
20,Georgetown University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/46.png,80,"Washington, D.C."
21,"University of California, Irvine",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/uci.jpg,77,"Irvine , Calif."
22,Montclair State University,https://logo.clearbit.com/montclair.edu,63,"Montclair, N.J."
23,University of Houston-Downtown,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/uhd.jpg,61,Houston
24,Rice University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/242.png,59,Houston
25,Missouri State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2623.png,57,"Springfield, Mo."
26,Utah State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/328.png,52,"Logan, Utah"
27,Brigham Young University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/252.png,51,"Provo, Utah"
28,Boise State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/68.png,50,"Boise , Idaho"
29,Southern Methodist University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2567.png,49,Dallas
30,University of Southern Mississippi,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2572.png,49,"Hattiesburg, Miss."
31,Princeton University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/163.png,48,"Princeton, N.J."
