,Rank,College Name,address,Number of Full-Time Undergraduates,Niche Overall Grade,Location,Acceptance Rate,niche_url,county
0,1,Western Governors University,"4001 South 700 East Suite 700Salt Lake City, UT 84107","54,735",C+,"Salt Lake City, UT",100%,https://www.niche.com/colleges/western-governors-university/, Salt Lake County
1,2,Texas A&M University,"JKW Administration Building, Suite 200College Station, TX 77843","43,531",A+,"College Station, TX",66.64%,https://www.niche.com/colleges/texas-a-and-m-university/, Brazos County
2,3,Ohio State University,"281 West Lane Ave, Columbus, OH 43210","41,117",A+,"Columbus, OH",49.38%,https://www.niche.com/colleges/ohio-state-university/, Franklin County
3,4,Penn State,"201 Old Main, University Park, PA 16802","39,520",A+,"State College, PA",51.32%,https://www.niche.com/colleges/penn-state/, Centre County
4,5,Arizona State University,"PO Box 870112Tempe, AZ 85287","38,212",A,"Tempe, AZ",82.91%,https://www.niche.com/colleges/arizona-state-university/,Maricopa County
5,6,University of Central Florida,"4000 Central Florida Blvd, Orlando, FL 32816","37,661",A-,"Orlando, FL",48.57%,https://www.niche.com/colleges/university-of-central-florida/, Orange County
6,7,Ashford University,"8620 Spectrum Center Boulevard, San Diego, CA 92123","37,066",C-,"San Diego, CA",100%,https://www.niche.com/colleges/ashford-university/, San Diego County
7,8,University of Texas - Austin,"110 Inner Campus Drive, Austin, TX 78712","36,565",A+,"Austin, TX",39.24%,https://www.niche.com/colleges/university-of-texas---austin/, Travis County
8,9,Michigan State University,"220 Trowbridge Rd, East Lansing, MI 48824","35,645",A+,"East Lansing, MI",66.28%,https://www.niche.com/colleges/michigan-state-university/, Ingham County
9,10,Rutgers University,"100 Sutphen Road, Piscataway, NJ 08854","33,392",A,"New Brunswick, NJ",58.45%,https://www.niche.com/colleges/rutgers-university/, Middlesex
10,11,University of Illinois at Urbana-Champaign,"601 E John Street, Champaign, IL 61820","31,989",A+,"Champaign, IL",65.56%,https://www.niche.com/colleges/university-of-illinois-at-urbana-champaign/, Champaign County
11,12,Indiana University - Bloomington,"107 S. Indiana Ave.Bloomington, IN 47405","31,728",A,"Bloomington, IN",77.99%,https://www.niche.com/colleges/indiana-university---bloomington/, Monroe County
12,13,California State University - Northridge,"18111 Nordhoff St, Northridge, CA 91330","30,281",B,"Los Angeles, CA",45.6%,https://www.niche.com/colleges/california-state-university---northridge/, Los Angeles County
13,14,University of Florida,"Tigert Hall, Gainesville, FL 32611","30,168",A+,"Gainesville, FL",47.54%,https://www.niche.com/colleges/university-of-florida/, Alachua County
14,15,University of Arizona,"1401 E University, Tucson, AZ 85721","29,597",A-,"Tucson, AZ",76.43%,https://www.niche.com/colleges/university-of-arizona/, Pima County
15,16,Florida State University,"222 S. Copeland Street, Tallahassee, FL 32306","29,185",A,"Tallahassee, FL",55.9%,https://www.niche.com/colleges/florida-state-university/, Leon County
16,17,University of Minnesota - Twin Cities,"100 Church Street SEMinneapolis, MN 55455","29,168",A+,"Minneapolis, MN",44.58%,https://www.niche.com/colleges/university-of-minnesota---twin-cities/, Hennepin County
17,18,University of California - Los Angeles,"405 Hilgard Ave, Los Angeles, CA 90095","29,004",A+,"Los Angeles, CA",17.28%,https://www.niche.com/colleges/university-of-california---los-angeles/, Los Angeles County
18,19,Iowa State University,"1750 Beardshear Hall, Ames, IA 50011","28,771",A,"Ames, IA",87.15%,https://www.niche.com/colleges/iowa-state-university/, Story County
19,20,University of Alabama,"739 University Boulevard, Tuscaloosa, AL 35487","28,689",A,"Tuscaloosa, AL",53.59%,https://www.niche.com/colleges/university-of-alabama/, Tuscaloosa County
20,21,Purdue University,"Hovde Hall of Administration, West Lafayette, IN 47907","28,682",A+,"West Lafayette, IN",58.97%,https://www.niche.com/colleges/purdue-university/, Tippecanoe County
21,22,University of Wisconsin,"500 Lincoln Dr, Madison, WI 53706","28,555",A+,"Madison, WI",57.61%,https://www.niche.com/colleges/university-of-wisconsin/, Dane County
22,23,University of Washington,"1410 NE Campus Parkway, Seattle, WA 98195","28,377",A+,"Seattle, WA",53.33%,https://www.niche.com/colleges/university-of-washington/, King County
23,24,California State University - Long Beach,"1250 Bellflower Blvd, Long Beach, CA 90840","27,829",A-,"Long Beach, CA",33.82%,https://www.niche.com/colleges/california-state-university---long-beach/, Los Angeles County
24,25,Liberty University,"1971 University Blvd, Lynchburg, VA 24515","27,671",B+,"Lynchburg, VA",21.56%,https://www.niche.com/colleges/liberty-university/, City of Lynchburg
25,26,University of California - Davis,"One Shields Avenue, Davis, CA 95616","27,453",A,"Davis, CA",37.95%,https://www.niche.com/colleges/university-of-california---davis/, Yolo County
