county-state,College Name,Location,county,state
 Salt Lake County - Utah,Western Governors University,"Salt Lake City, UT", Salt Lake County,Utah
 Brazos County - Texas,Texas A&M University,"College Station, TX", Brazos County,Texas
 Franklin County - Ohio,Ohio State University,"Columbus, OH", Franklin County,Ohio
 Centre County - Pennsylvania,Penn State,"State College, PA", Centre County,Pennsylvania
Maricopa County - Arizona,Arizona State University,"Tempe, AZ",Maricopa County,Arizona
 Orange County - Florida,University of Central Florida,"Orlando, FL", Orange County,Florida
 San Diego County - California,Ashford University,"San Diego, CA", San Diego County,California
 Travis County - Texas,University of Texas - Austin,"Austin, TX", Travis County,Texas
 Ingham County - Michigan,Michigan State University,"East Lansing, MI", Ingham County,Michigan
 Middlesex County - New Jersey,Rutgers University,"New Brunswick, NJ", Middlesex County,New Jersey
 Champaign County - Illinois,University of Illinois at Urbana-Champaign,"Champaign, IL", Champaign County,Illinois
 Monroe County - Indiana,Indiana University - Bloomington,"Bloomington, IN", Monroe County,Indiana
 Los Angeles County - California,California State University - Northridge,"Los Angeles, CA", Los Angeles County,California
 Alachua County - Florida,University of Florida,"Gainesville, FL", Alachua County,Florida
 Pima County - Arizona,University of Arizona,"Tucson, AZ", Pima County,Arizona
 Leon County - Florida,Florida State University,"Tallahassee, FL", Leon County,Florida
 Hennepin County - Minnesota,University of Minnesota - Twin Cities,"Minneapolis, MN", Hennepin County,Minnesota
 Los Angeles County - California,University of California - Los Angeles,"Los Angeles, CA", Los Angeles County,California
 Story County - Iowa,Iowa State University,"Ames, IA", Story County,Iowa
 Tuscaloosa County - Alabama,University of Alabama,"Tuscaloosa, AL", Tuscaloosa County,Alabama
 Tippecanoe County - Indiana,Purdue University,"West Lafayette, IN", Tippecanoe County,Indiana
 Dane County - Wisconsin,University of Wisconsin,"Madison, WI", Dane County,Wisconsin
 King County - Washington,University of Washington,"Seattle, WA", King County,Washington
 Los Angeles County - California,California State University - Long Beach,"Long Beach, CA", Los Angeles County,California
Campbell County - Virginia,Liberty University,"Lynchburg, VA",Campbell County,Virginia
 Yolo County - California,University of California - Davis,"Davis, CA", Yolo County,California
 Hays County - Texas,Texas State University,"San Marcos, TX", Hays County,Texas
Utah County - Utah,Brigham Young University,"Provo, UT",Utah County,Utah
 Washtenaw County - Michigan,University of Michigan - Ann Arbor,"Ann Arbor, MI", Washtenaw County,Michigan
 Orange County - California,California State University - Fullerton,"Fullerton, CA", Orange County,California
 Alameda County - California,University of California - Berkeley,"Berkeley, CA", Alameda County,California
 Lubbock County - Texas,Texas Tech University,"Lubbock, TX", Lubbock County,Texas
 Boone County - Missouri,University of Missouri,"Columbia, MO", Boone County,Missouri
 San Diego County - California,San Diego State University,"San Diego, CA", San Diego County,California
 San Diego County - California,University of California - San Diego,"San Diego, CA", San Diego County,California
Clarke County - Georgia,University of Georgia,"Athens, GA",Clarke County,Georgia
 Miami-Dade County - Florida,Florida International University,"Miami, FL", Miami-Dade County,Florida
 Marion County - Indiana,Ivy Tech Community College - Central Indiana,"Indianapolis, IN", Marion County,Indiana
 Prince George's County - Maryland,University of Maryland - College Park,"College Park, MD", Prince George's County,Maryland
 Philadelphia County - Pennsylvania,Temple University,"Philadelphia, PA", Philadelphia County,Pennsylvania
 Boulder County - Colorado,University of Colorado - Boulder,"Boulder, CO", Boulder County,Colorado
Denton County - Texas,University of North Texas,"Denton, TX",Denton County,Texas
 Harris County - Texas,University of Houston,"Houston, TX", Harris County,Texas
 Orange County - California,University of California - Irvine,"Irvine, CA", Orange County,California
 Montgomery County - Virginia,Virginia Tech,"Blacksburg, VA", Montgomery County,Virginia
 Miami-Dade County - Florida,Miami Dade College,"Miami, FL", Miami-Dade County,Florida
New York City County - New York,New York University,"New York City, NY",New York City County,New York
 Hillsborough County - Florida,University of South Florida,"Tampa, FL", Hillsborough County,Florida
Richland County - South Carolina,University of South Carolina,"Columbia, SC",Richland County,South Carolina
 East Baton Rouge County - Louisiana,Louisiana State University,"Baton Rouge, LA", East Baton Rouge County,Louisiana
 San Francisco County - California,San Francisco State University,"San Francisco, CA", San Francisco County,California
 Sacramento County - California,California State University - Sacramento,"Sacramento, CA", Sacramento County,California
 Santa Clara County - California,San Jose State University,"San Jose, CA", Santa Clara County,California
 Coconino County - Arizona,Northern Arizona University,"Flagstaff, AZ", Coconino County,Arizona
 Whitman County - Washington,Washington State University,"Pullman, WA", Whitman County,Washington
 Fayette County - Kentucky,University of Kentucky,"Lexington, KY", Fayette County,Kentucky
