,College Name,county,state,state_full
0,Western Governors University, Salt Lake County,UT,Utah
1,Texas A&M University, Brazos County,TX,Texas
2,Ohio State University, Franklin County,OH,Ohio
3,Penn State, Centre County,PA,Pennsylvania
4,Arizona State University,Maricopa County,AZ,Arizona
5,University of Central Florida, Orange County,FL,Florida
6,Ashford University, San Diego County,CA,California
7,University of Texas - Austin, Travis County,TX,Texas
8,Michigan State University, Ingham County,MI,Michigan
9,Rutgers University, Middlesex County,NJ,New Jersey
10,University of Illinois at Urbana-Champaign, Champaign County,IL,Illinois
11,Indiana University - Bloomington, Monroe County,IN,Indiana
12,California State University - Northridge, Los Angeles County,CA,California
13,University of Florida, Alachua County,FL,Florida
14,University of Arizona, Pima County,AZ,Arizona
15,Florida State University, Leon County,FL,Florida
16,University of Minnesota - Twin Cities, Hennepin County,MN,Minnesota
17,University of California - Los Angeles, Los Angeles County,CA,California
18,Iowa State University, Story County,IA,Iowa
19,University of Alabama, Tuscaloosa County,AL,Alabama
20,Purdue University, Tippecanoe County,IN,Indiana
21,University of Wisconsin, Dane County,WI,Wisconsin
22,University of Washington, King County,WA,Washington
23,California State University - Long Beach, Los Angeles County,CA,California
24,Liberty University,Campbell County,VA,Virginia
25,University of California - Davis, Yolo County,CA,California
26,Texas State University, Hays County,TX,Texas
27,Brigham Young University,Utah County,UT,Utah
28,University of Michigan - Ann Arbor, Washtenaw County,MI,Michigan
29,California State University - Fullerton, Orange County,CA,California
30,University of California - Berkeley, Alameda County,CA,California
31,Texas Tech University, Lubbock County,TX,Texas
32,University of Missouri, Boone County,MO,Missouri
33,San Diego State University, San Diego County,CA,California
34,University of California - San Diego, San Diego County,CA,California
35,University of Georgia,Clarke County,GA,Georgia
36,Florida International University, Miami-Dade County,FL,Florida
37,Ivy Tech Community College - Central Indiana, Marion County,IN,Indiana
38,University of Maryland - College Park, Prince George's County,MD,Maryland
39,Temple University, Philadelphia County,PA,Pennsylvania
40,University of Colorado - Boulder, Boulder County,CO,Colorado
41,University of North Texas,Denton County,TX,Texas
42,University of Houston, Harris County,TX,Texas
43,University of California - Irvine, Orange County,CA,California
44,Virginia Tech, Montgomery County,VA,Virginia
45,Miami Dade College, Miami-Dade County,FL,Florida
46,New York University,New York City County,NY,New York
47,University of South Florida, Hillsborough County,FL,Florida
48,University of South Carolina,Richland County,SC,South Carolina
49,Louisiana State University, East Baton Rouge County,LA,Louisiana
50,San Francisco State University, San Francisco County,CA,California
51,California State University - Sacramento, Sacramento County,CA,California
52,San Jose State University, Santa Clara County,CA,California
53,Northern Arizona University, Coconino County,AZ,Arizona
54,Washington State University, Whitman County,WA,Washington
55,University of Kentucky, Fayette County,KY,Kentucky
56,University of Massachusetts - Amherst, Hampshire County,MA,Massachusetts
57,North Carolina State University, Wake County,NC,North Carolina
58,University of Cincinnati, Hamilton County,OH,Ohio
59,Montclair State University, Passaic County,NJ,New Jersey
60,Colorado State University, Larimer County,CO,Colorado
61,University of Tennessee, Knox County,TN,Tennessee
62,West Virginia University,Monongalia County,WV,West Virginia
63,California State University - Los Angeles, Los Angeles County,CA,California
64,University of California - Santa Barbara, Santa Barbara County,CA,California
65,University of Texas - San Antonio, Bexar County,TX,Texas
66,Southern New Hampshire University, Merrimack County,NH,New Hampshire
67,Virginia Commonwealth University, Richmond City County,VA,Virginia
68,University of Iowa, Johnson County,IA,Iowa
69,University of North Carolina at Charlotte, Mecklenburg County,NC,North Carolina
70,Auburn University, Lee County,AL,Alabama
71,California State Polytechnic University - Pomona, Los Angeles County,CA,California
72,University of Arkansas, Washington County,AR,Arkansas
73,Grand Valley State University, Ottawa County,MI,Michigan
74,East Carolina University, Pitt County,NC,North Carolina
75,California Polytechnic State University - San Luis Obispo,San Luis Obispo County,CA,California
76,Kent State University, Stark County,OH,Ohio
77,University of Nebraska - Lincoln, Lancaster County,NE,Nebraska
78,Georgia State University, Fulton County,GA,Georgia
79,Lone Star College System, Montgomery County,TX,Texas
80,California State University - Fresno, Fresno County,CA,California
81,University of Oregon, Lane County,OR,Oregon
82,Oregon State University, Benton County,OR,Oregon
83,"University at Buffalo, SUNY", Erie County,NY,New York
84,Northern Virginia Community College, Fairfax County,VA,Virginia
85,James Madison University, Rockingham County,VA,Virginia
86,George Mason University, Fairfax County,VA,Virginia
87,Oklahoma State University, Payne County,OK,Oklahoma
88,University of Wisconsin - Milwaukee, Walworth County,WI,Wisconsin
89,University of California - Riverside, Riverside County,CA,California
90,University of Southern California, Los Angeles County,CA,California
91,University of Oklahoma, Cleveland County,OK,Oklahoma
92,University of Connecticut, Tolland County,CT,Connecticut
93,CUNY Borough of Manhattan Community College,New York City County,NY,New York
94,Kansas State University, Riley County,KS,Kansas
95,Full Sail University, Orange County,FL,Florida
96,University of Pittsburgh, Allegheny County,PA,Pennsylvania
97,Kennesaw State University, Cobb County,GA,Georgia
98,Central Michigan University, Isabella County,MI,Michigan
99,University of North Carolina at Chapel Hill,Orange County,NC,North Carolina
